Label,Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
RECON-PORTSCAN,23.6,6,126.9,107.69260790304772,0.0,0.0,0.0,0.6,0.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,2165.0,60.0,910.0,216.5,251.6550769958313,216.5,0.0141621828079223,10.0,63330.27777777778
RECON-PORTSCAN,20.0,6,64.0,1149.029942744432,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600.0,60.0,60.0,60.0,0.0,60.0,0.0008702993392944,10.0,0.0
RECON-PORTSCAN,32.0,6,49.6,475.98719898318166,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3516.0,66.0,1494.0,351.6,602.0976664960594,351.6,0.0021663904190063,10.0,362521.6
RECON-PORTSCAN,20.8,6,59.8,87.54109583322898,0.0,0.1,0.0,0.3,0.5,0.0,0.0,5.0,1.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1646.0,62.0,703.0,164.6,197.6310816760472,164.6,0.0120260953903198,10.0,39058.04444444445
RECON-PORTSCAN,22.4,6,92.4,195.9360007474365,0.0,0.6,0.0,0.1,0.2,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1348.0,60.0,494.0,134.8,141.37169290758158,134.8,0.0051038980484008,10.0,19985.95555555556
MIRAI-GREETH_FLOOD,0.0,47,64.0,6513.804724262707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,59200.0,592.0,592.0,592.0,0.0,592.0,0.0001535296440124,100.0,0.0
MIRAI-GREETH_FLOOD,0.08,47,65.91,7279.629276081712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,1.0,1.0,58822.0,214.0,592.0,588.22,37.79999999999995,588.22,0.0001380681991577,100.0,1428.8399999999958
MIRAI-GREETH_FLOOD,0.0,47,64.0,6184.7383399442615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,59200.0,592.0,592.0,592.0,0.0,592.0,0.000163300037384,100.0,0.0
MIRAI-GREETH_FLOOD,0.8,47,68.86,1496.8911602742317,0.0,0.02,0.0,0.0,0.01,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.02,0.0,0.99,0.99,56588.0,60.0,592.0,565.88,114.43380866534396,565.88,0.0006691098213195,100.0,13095.09656565655
MIRAI-GREETH_FLOOD,0.08,47,63.27,2900.5649951937376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.99,0.99,58166.0,60.0,592.0,581.66,72.77587290282186,581.66,0.0003454685211181,100.0,5296.327676767681
