,Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
cwr_flag_number,0.015700070402657564,0.003678807249774091,0.01722940030607162,0.03482753475674837,0.022645889226247242,0.034579587471248834,0.01014184669810493,0.0313905208799627,0.02726810912072776,0.5971008880625335,1.0,0.03049945647497557,0.034789910054352294,0.023197622972686693,0.010217464635640747,0.014961139219990925,0.038351678182339435,0.028459864384858195,0.0009072230036874172,0.0008874910872653571,0.0026577322478424565,0.0005999669991794891,0.0013000956053655806,0.01391173838085584,0.008935669255062848,0.020258129695031688,0.008652792463170895,0.006222439862529543,0.020258129695031688,0.020258129695031688,0.0019543580167851755,0.005305406533992123,0.030076098989904806,0.02199218149407909,0.0349568658502096,0.02199218149407909,0.03475775582890309,0.017653724494878353,0.034957013320715186
ack_count,0.49732393124748053,0.2319188207516531,0.32777890366355,0.457002414241356,0.11391225005519084,0.008395607224041705,0.12445194865547239,0.7100129772797402,0.9716370406550298,0.03941829917612849,0.03049945647497557,1.0,0.011164744678409073,0.11569673463957723,0.1256136479773935,0.26798202330500476,0.5518433441646798,0.16049008548799795,3.482033415700386e-05,0.000524229116341939,0.06597404569077339,0.007317488379850977,0.3110138025125886,0.062350540110517216,0.05239426846482157,0.14915630450071804,0.09728607973769436,0.031987541718938875,0.14915630450071804,0.14915630450071804,0.04257306429669746,0.019918669460286205,0.41026390446619526,0.3430149680463972,0.512182747664289,0.3430149680463972,0.4617048517570581,0.4430070107290965,0.5121826060787111
syn_count,0.29663702305032863,0.20387523662449883,0.0239154250652855,0.010302981500216954,0.015279418458678891,0.9974690854860633,0.09242470396418753,0.046089480804917995,0.02209076176739608,0.054943073260688965,0.034789910054352294,0.011164744678409073,1.0,0.018898942667579778,0.0923469064260609,0.20580423574376552,0.03333024043305732,0.09824308961709681,0.01722893266160529,0.01576278149900507,0.016669039081255384,0.0281948220610707,0.3747948275614533,0.18090075865133068,0.01841393270773413,0.02014176563269878,0.09441539793554433,0.01026565715968376,0.02014176563269878,0.02014176563269878,0.12911957436831117,0.24099069540255166,0.15320687903796795,0.20631434074259358,0.05827669121152463,0.20631434074259358,0.012485390394870517,0.05889709018416207,0.058275903518769934
fin_count,0.20824376823528376,0.13850716469696062,0.055792101923518085,0.08443572341296472,0.9991808068070417,0.015332820546033236,0.4727418121690341,0.1626614412226316,0.10102169154420393,0.019834921988140904,0.023197622972686693,0.11569673463957723,0.018898942667579778,1.0,0.47744159226389554,0.25749206567361005,0.15432097300479172,0.1537018398117764,0.0001409381418035855,0.00043075712292333523,0.0323267701898823,0.00239140077788284,0.17225534037577683,0.02553641435637629,0.035219576673875166,0.05585318418173903,0.017689609360569892,0.01944095938979458,0.05585318418173903,0.05585318418173903,0.06690486044524376,0.09676382237465057,0.021015603281827794,0.034949764664103045,0.08293694414550316,0.034949764664103045,0.08244027506466699,0.021900957503043626,0.0829369492564339
rst_count,0.2310800327050614,0.14981584750802324,0.036216651887524626,0.0455646678159184,0.471713556198908,0.08734310156876503,0.9993603734016318,0.0018513703793363492,0.07991579162646863,0.006444450232628855,0.010217464635640747,0.1256136479773935,0.0923469064260609,0.47744159226389554,1.0,0.10000202961166506,0.03524260973059334,0.018873892951791236,0.01882435597465262,0.017277802306471184,0.0009922824946210851,0.01408677986915761,0.2864934031512144,0.17684884655257144,0.0022954981364797975,0.02767891966628438,0.10491261170104993,0.004784614918813905,0.02767891966628438,0.02767891966628438,0.09468710336568746,0.1991550190901653,0.11933255742857747,0.16602684954916358,0.06895861742995647,0.16602684954916358,0.04629219595987113,0.04005724630233567,0.06895747340962664
HTTP,0.2703654094710386,0.14224220661978246,0.12770177952867212,0.2082888327942553,0.2557454293054678,0.20953180645000907,0.09525791347696053,0.2797800342013142,0.2669527334862253,0.011909875818257042,0.014961139219990925,0.26798202330500476,0.20580423574376552,0.25749206567361005,0.10000202961166506,1.0,0.12546745103633544,0.229933321727037,0.008720390006678784,0.008383583740095346,0.047826027684227675,0.010704929274168764,0.1455672029417918,0.025957541912584762,0.03439399045587108,0.06953159641110687,0.0128077499583597,0.01921378246651508,0.06953159641110687,0.06953159641110687,0.07056542762431404,0.04605895714453945,0.1443405744856848,0.0863108206810698,0.22179160946160492,0.0863108206810698,0.2085936976094084,0.17763225316196962,0.2217914897574676
HTTPS,0.4503525024417319,0.14054135578450402,0.39720713785123607,0.5198574781746698,0.1568682739196262,0.03778487958500044,0.035593293032543674,0.5050973602100202,0.6256032410377442,0.04348202663714274,0.038351678182339435,0.5518433441646798,0.03333024043305732,0.15432097300479172,0.03524260973059334,0.12546745103633544,1.0,0.17779812346649604,0.0052489638479721705,0.006099071713345776,0.057000369302417093,0.005857857204203832,0.19478864970646045,0.07634803954144287,0.05830975095266326,0.13301702494684,0.037523247986403864,0.03423747023276442,0.13301702494684,0.13301702494684,0.1889673769689001,0.07051184324306801,0.3813913686097518,0.3224709956880475,0.47447734362412,0.3224709956880475,0.5257546993891432,0.5923420267855835,0.4744768873911728
DNS,0.03512476670975949,0.011168307941217911,0.22826795574599626,0.3434959642802037,0.15405709739675932,0.09909068008452201,0.020282994217699826,0.1731615678464497,0.14388982805421313,0.032551675605500166,0.028459864384858195,0.16049008548799795,0.09824308961709681,0.1537018398117764,0.018873892951791236,0.229933321727037,0.17779812346649604,1.0,0.0063343875613694044,0.006507025939303528,0.04291085564711628,0.00529085603855938,0.1435401932484565,0.3176375444086015,0.07016115081714684,0.21893330011169648,0.1390594572837003,0.03271927057760957,0.21893330011169648,0.21893330011169648,0.047045812081947046,0.019607225543354746,0.26155492609441394,0.22290330695784943,0.3326176224782828,0.22290330695784943,0.3412484278887808,0.13228269106394602,0.33261764270164085
Telnet,0.016073995460248087,0.011780382093846024,0.003729668235378832,0.008692290902133349,0.00016544229537449916,0.01820215508856859,0.01971329435989795,0.005359864656797477,0.00012326355544015448,0.0006840138389578685,0.0009072230036874172,3.482033415700386e-05,0.01722893266160529,0.0001409381418035855,0.01882435597465262,0.008720390006678784,0.0052489638479721705,0.0063343875613694044,1.0,0.7222109657773248,0.2320930658265477,0.5570577332794874,0.02443254444193631,0.017091546555042282,0.0014938068719683555,0.006836723288449897,0.010631661472946597,0.0006014210372586666,0.006836723288449897,0.006836723288449897,0.0176003268072267,0.012219344661510168,0.02000831937775611,0.020658026105939215,0.01613325611393371,0.020658026105939215,0.008107244795710716,0.0033798471331819534,0.01613322986724458
SMTP,0.015285543186720017,0.0114339646217159,0.005514625638097804,0.010605601275516477,0.0004354302532966274,0.016665120070988367,0.018053413841891172,0.00566382067017927,0.0006654788196269854,0.0010200236994665484,0.0008874910872653571,0.000524229116341939,0.01576278149900507,0.00043075712292333523,0.017277802306471184,0.008383583740095346,0.006099071713345776,0.006507025939303528,0.7222109657773248,1.0,0.22280721725667751,0.5540594520589861,0.024329069351311437,0.017593209039862927,0.0017177374954346844,0.006673602849418126,0.010479254773110732,0.0007597477089520919,0.006673602849418126,0.006673602849418126,0.01627372037337596,0.012032727723036376,0.020158412046408555,0.020815303155891533,0.0165496922188851,0.020815303155891533,0.010008946089542673,0.0016508051508100621,0.01654973049395358
SSH,0.05484076701145242,0.03842316338365988,0.03056831620783326,0.0862058808642171,0.032866827391022445,0.018535723934149057,0.0008007635761705568,0.09714724516893607,0.0739180272980704,0.0033437973723159527,0.0026577322478424565,0.06597404569077339,0.016669039081255384,0.0323267701898823,0.0009922824946210851,0.047826027684227675,0.057000369302417093,0.04291085564711628,0.2320930658265477,0.22280721725667751,1.0,0.18420949971762024,0.014317212496441217,0.023659159894669494,0.012524661304751439,0.03150814573414479,0.013848021720463295,0.005592269011001358,0.03150814573414479,0.03150814573414479,0.04801715323720281,0.001112847599807113,0.0329909504036401,0.024463786502499366,0.05380193462382303,0.024463786502499366,0.08623566465923294,0.07774983555316724,0.053801976725808574
IRC,0.016482489765604215,0.008075191785513518,0.00681813801396251,0.009038275013665846,0.0023468066566744326,0.02953198402648016,0.014737674786965428,0.005957666971549325,0.007403381922409274,0.00014916634837550664,0.0005999669991794891,0.007317488379850977,0.0281948220610707,0.00239140077788284,0.01408677986915761,0.010704929274168764,0.005857857204203832,0.00529085603855938,0.5570577332794874,0.5540594520589861,0.18420949971762024,1.0,0.01760785073415205,0.0054734471193267,0.0020251306791320826,0.00491280143177338,0.004738732088195007,0.0021118797721116863,0.00491280143177338,0.00491280143177338,0.017150278694055186,0.011501637459101132,0.00769765577679236,0.009665966579748874,0.0017346486662540193,0.009665966579748874,0.009333434509751935,0.011842422184700399,0.0017345157852939762
TCP,0.8235177876431665,0.4750588318308124,0.07056494711417034,0.2039004740000207,0.17273195197707314,0.3789061704546038,0.2873833545096232,0.22247140637656337,0.33788684878690695,0.0025379605785442474,0.0013000956053655806,0.3110138025125886,0.3747948275614533,0.17225534037577683,0.2864934031512144,0.1455672029417918,0.19478864970646045,0.1435401932484565,0.02443254444193631,0.024329069351311437,0.014317212496441217,0.01760785073415205,1.0,0.6075559079758636,0.040350617965591855,0.218336881572177,0.3892543605822022,0.012670847155966761,0.218336881572177,0.218336881572177,0.40155467470528805,0.23462384447348641,0.33781242875856043,0.3935343319773576,0.1806853705648871,0.3935343319773576,0.198483214501831,0.1638752372263634,0.18068526602735724
UDP,0.26365458788839363,0.4865325753436699,0.1640342231550336,0.329385236590326,0.024207119411927054,0.1791972028736704,0.1773303882141884,0.05609834392019083,0.05450230856432261,0.016280230362485156,0.01391173838085584,0.062350540110517216,0.18090075865133068,0.02553641435637629,0.17684884655257144,0.025957541912584762,0.07634803954144287,0.3176375444086015,0.017091546555042282,0.017593209039862927,0.023659159894669494,0.0054734471193267,0.6075559079758636,1.0,0.09052482953616732,0.14855287953433238,0.0014910376243008243,0.023635261502811603,0.14855287953433238,0.14855287953433238,0.043710006556974455,0.034312757747505564,0.24815689705623165,0.24004488546033295,0.2681813018718517,0.24004488546033295,0.3272021661394511,0.1447520755352064,0.2681811650932057
DHCP,0.015829652335126256,0.004295239299352007,0.07042182257532309,0.10462655154493566,0.033944354106786236,0.016033740341781164,0.001745827935643202,0.05593364717200777,0.042143890008484584,0.008914836538200998,0.008935669255062848,0.05239426846482157,0.01841393270773413,0.035219576673875166,0.0022954981364797975,0.03439399045587108,0.05830975095266326,0.07016115081714684,0.0014938068719683555,0.0017177374954346844,0.012524661304751439,0.0020251306791320826,0.040350617965591855,0.09052482953616732,1.0,0.08590542076279688,0.04017388939880875,0.03852479096959208,0.08590542076279688,0.08590542076279688,0.027689093411144682,0.016781391344435723,0.08833038848568563,0.06828630206605929,0.10250101578200475,0.06828630206605929,0.10372848039555287,0.025675182380628735,0.10250101545269684
ARP,0.1760288832740639,0.014992713438463198,0.09011166442970381,0.3784611051761603,0.053332995827063905,0.014099906909601412,0.02887710729379321,0.1302495616760864,0.11452073048426431,0.02926352743721572,0.020258129695031688,0.14915630450071804,0.02014176563269878,0.05585318418173903,0.02767891966628438,0.06953159641110687,0.13301702494684,0.21893330011169648,0.006836723288449897,0.006673602849418126,0.03150814573414479,0.00491280143177338,0.218336881572177,0.14855287953433238,0.08590542076279688,1.0,0.15495279238868337,0.04131395344499748,1.0,1.0,0.13510741515119126,0.285830247659496,0.2890672988789308,0.2620841301524173,0.3575067973097744,0.2620841301524173,0.37480645952784675,0.05633477500975817,0.3575065581133821
ICMP,0.44439636720644843,0.3391975072923016,0.053502673220231604,0.06649944206214302,0.02103030282782434,0.10255969686722127,0.10568648513463152,0.0580626634387977,0.11605227921269724,0.013872374470576841,0.008652792463170895,0.09728607973769436,0.09441539793554433,0.017689609360569892,0.10491261170104993,0.0128077499583597,0.037523247986403864,0.1390594572837003,0.010631661472946597,0.010479254773110732,0.013848021720463295,0.004738732088195007,0.3892543605822022,0.0014910376243008243,0.04017388939880875,0.15495279238868337,1.0,0.017357466194254892,0.15495279238868337,0.15495279238868337,0.17461614076326482,0.05239493052525954,0.12660913463355727,0.1173037544455624,0.17587506873330466,0.1173037544455624,0.06295566778215213,0.12508104058972536,0.17587511893080573
IGMP,0.0009806439867474344,0.00033542835576638,0.020192015891100645,0.048507668237483474,0.018485014401410378,0.008714683851721406,0.004497332253834228,0.033370758269155525,0.026334215736839105,0.005092890347637823,0.006222439862529543,0.031987541718938875,0.01026565715968376,0.01944095938979458,0.004784614918813905,0.01921378246651508,0.03423747023276442,0.03271927057760957,0.0006014210372586666,0.0007597477089520919,0.005592269011001358,0.0021118797721116863,0.012670847155966761,0.023635261502811603,0.03852479096959208,0.04131395344499748,0.017357466194254892,1.0,0.04131395344499748,0.04131395344499748,0.005315176724473726,0.03015202317380227,0.033790856140235026,0.0236972247281446,0.03991023545952448,0.0236972247281446,0.04811756447338999,0.013650164393511844,0.03991026806015627
IPv,0.1760288832740639,0.014992713438463198,0.09011166442970381,0.3784611051761603,0.053332995827063905,0.014099906909601412,0.02887710729379321,0.1302495616760864,0.11452073048426431,0.02926352743721572,0.020258129695031688,0.14915630450071804,0.02014176563269878,0.05585318418173903,0.02767891966628438,0.06953159641110687,0.13301702494684,0.21893330011169648,0.006836723288449897,0.006673602849418126,0.03150814573414479,0.00491280143177338,0.218336881572177,0.14855287953433238,0.08590542076279688,1.0,0.15495279238868337,0.04131395344499748,1.0,1.0,0.13510741515119126,0.285830247659496,0.2890672988789308,0.2620841301524173,0.3575067973097744,0.2620841301524173,0.37480645952784675,0.05633477500975817,0.3575065581133821
LLC,0.1760288832740639,0.014992713438463198,0.09011166442970381,0.3784611051761603,0.053332995827063905,0.014099906909601412,0.02887710729379321,0.1302495616760864,0.11452073048426431,0.02926352743721572,0.020258129695031688,0.14915630450071804,0.02014176563269878,0.05585318418173903,0.02767891966628438,0.06953159641110687,0.13301702494684,0.21893330011169648,0.006836723288449897,0.006673602849418126,0.03150814573414479,0.00491280143177338,0.218336881572177,0.14855287953433238,0.08590542076279688,1.0,0.15495279238868337,0.04131395344499748,1.0,1.0,0.13510741515119126,0.285830247659496,0.2890672988789308,0.2620841301524173,0.3575067973097744,0.2620841301524173,0.37480645952784675,0.05633477500975817,0.3575065581133821
Tot sum,0.48915290669582373,0.2328442037944486,0.16334329637948208,0.051585439141140714,0.0789568905692422,0.1604213409471488,0.10444931893313632,0.19931733331731447,0.15876385623091185,0.014774459137738014,0.0019543580167851755,0.04257306429669746,0.12911957436831117,0.06690486044524376,0.09468710336568746,0.07056542762431404,0.1889673769689001,0.047045812081947046,0.0176003268072267,0.01627372037337596,0.04801715323720281,0.017150278694055186,0.40155467470528805,0.043710006556974455,0.027689093411144682,0.13510741515119126,0.17461614076326482,0.005315176724473726,0.13510741515119126,0.13510741515119126,1.0,0.35805365222054525,0.6074181798309809,0.6539134550270981,0.39757093929113474,0.6539134550270981,0.043510981027584036,0.5428749881303719,0.39757033908162304
Min,0.1007758205940663,0.24164277343873605,0.0892688843209124,0.14848869160793537,0.09430318060338717,0.2375133884630839,0.1993137982207292,0.025038111708522402,0.055174674655138166,0.005977011260733411,0.005305406533992123,0.019918669460286205,0.24099069540255166,0.09676382237465057,0.1991550190901653,0.04605895714453945,0.07051184324306801,0.019607225543354746,0.012219344661510168,0.012032727723036376,0.001112847599807113,0.011501637459101132,0.23462384447348641,0.034312757747505564,0.016781391344435723,0.285830247659496,0.05239493052525954,0.03015202317380227,0.285830247659496,0.285830247659496,0.35805365222054525,1.0,0.41308172636392543,0.5057648199446259,0.13045914362132152,0.5057648199446259,0.15312101831396577,0.10201731134667374,0.13045857322887175
Max,0.10902146160522865,0.1708720480761064,0.20455682460520125,0.6675284215679532,0.017063264902305995,0.1639330984065218,0.12359969804063797,0.2655421666399769,0.39494922475515654,0.041988210064300154,0.030076098989904806,0.41026390446619526,0.15320687903796795,0.021015603281827794,0.11933255742857747,0.1443405744856848,0.3813913686097518,0.26155492609441394,0.02000831937775611,0.020158412046408555,0.0329909504036401,0.00769765577679236,0.33781242875856043,0.24815689705623165,0.08833038848568563,0.2890672988789308,0.12660913463355727,0.033790856140235026,0.2890672988789308,0.2890672988789308,0.6074181798309809,0.41308172636392543,1.0,0.9629966543663783,0.8856369376044535,0.9629966543663783,0.6679768040930469,0.25727470746942716,0.8856366600999118
AVG,0.18637196067998582,0.23219221247701488,0.16727477790677847,0.6394797713672061,0.0372456013264716,0.21489504677628052,0.16905853729682763,0.18868239521706692,0.33540392595579194,0.03376598529133034,0.02199218149407909,0.3430149680463972,0.20631434074259358,0.034949764664103045,0.16602684954916358,0.0863108206810698,0.3224709956880475,0.22290330695784943,0.020658026105939215,0.020815303155891533,0.024463786502499366,0.009665966579748874,0.3935343319773576,0.24004488546033295,0.06828630206605929,0.2620841301524173,0.1173037544455624,0.0236972247281446,0.2620841301524173,0.2620841301524173,0.6539134550270981,0.5057648199446259,0.9629966543663783,1.0,0.8146025139922454,1.0,0.6406306012490336,0.24343566935371783,0.8146019952248978
Std,0.058335819100200074,0.01620413355132874,0.27987732711947494,0.7028773747838521,0.08069190892491905,0.0657170319735391,0.07255067047030352,0.38236377093800933,0.5076041370777052,0.048692776877350304,0.0349568658502096,0.512182747664289,0.05827669121152463,0.08293694414550316,0.06895861742995647,0.22179160946160492,0.47447734362412,0.3326176224782828,0.01613325611393371,0.0165496922188851,0.05380193462382303,0.0017346486662540193,0.1806853705648871,0.2681813018718517,0.10250101578200475,0.3575067973097744,0.17587506873330466,0.03991023545952448,0.3575067973097744,0.3575067973097744,0.39757093929113474,0.13045914362132152,0.8856369376044535,0.8146025139922454,1.0,0.8146025139922454,0.7034073916519833,0.37409080696829633,0.999999969385306
Tot size,0.18637196067998582,0.23219221247701488,0.16727477790677847,0.6394797713672061,0.0372456013264716,0.21489504677628052,0.16905853729682763,0.18868239521706692,0.33540392595579194,0.03376598529133034,0.02199218149407909,0.3430149680463972,0.20631434074259358,0.034949764664103045,0.16602684954916358,0.0863108206810698,0.3224709956880475,0.22290330695784943,0.020658026105939215,0.020815303155891533,0.024463786502499366,0.009665966579748874,0.3935343319773576,0.24004488546033295,0.06828630206605929,0.2620841301524173,0.1173037544455624,0.0236972247281446,0.2620841301524173,0.2620841301524173,0.6539134550270981,0.5057648199446259,0.9629966543663783,1.0,0.8146025139922454,1.0,0.6406306012490336,0.24343566935371783,0.8146019952248978
IAT,0.10167441958479759,0.10532967204092997,0.3668790653447817,0.9961652236426735,0.08589192565991677,0.0043017183344081075,0.04305021755259013,0.42430262120405626,0.5015011824295966,0.04148334722557119,0.03475775582890309,0.4617048517570581,0.012485390394870517,0.08244027506466699,0.04629219595987113,0.2085936976094084,0.5257546993891432,0.3412484278887808,0.008107244795710716,0.010008946089542673,0.08623566465923294,0.009333434509751935,0.198483214501831,0.3272021661394511,0.10372848039555287,0.37480645952784675,0.06295566778215213,0.04811756447338999,0.37480645952784675,0.37480645952784675,0.043510981027584036,0.15312101831396577,0.6679768040930469,0.6406306012490336,0.7034073916519833,0.6406306012490336,1.0,0.5935203377785597,0.7034074808334171
Number,0.497778681168001,0.08625978645703902,0.38550110924781605,0.5800365323898552,0.034113100317266346,0.02737111861590696,0.02940391556798777,0.4480953499664726,0.5959981064767219,0.01283069203818612,0.017653724494878353,0.4430070107290965,0.05889709018416207,0.021900957503043626,0.04005724630233567,0.17763225316196962,0.5923420267855835,0.13228269106394602,0.0033798471331819534,0.0016508051508100621,0.07774983555316724,0.011842422184700399,0.1638752372263634,0.1447520755352064,0.025675182380628735,0.05633477500975817,0.12508104058972536,0.013650164393511844,0.05633477500975817,0.05633477500975817,0.5428749881303719,0.10201731134667374,0.25727470746942716,0.24343566935371783,0.37409080696829633,0.24343566935371783,0.5935203377785597,1.0,0.37409079885107893
